Time,Yaw_Angle
1773652636.785392,90.1
1773652636.8852158,90.1
1773652636.985175,90.1
1773652637.085305,90.1
1773652637.1851184,90.1
1773652637.2852373,90.1
1773652637.3853574,90.1
1773652637.4851246,90.1
1773652637.5851445,90.1
1773652637.685228,90.1
1773652637.78521,90.1
1773652637.8852694,90.1
1773652637.985342,90.1
1773652638.085241,90.1
1773652638.1851866,90.1
1773652638.2852206,90.1
1773652638.3852184,90.1
1773652638.4852166,90.1
1773652638.5853195,90.1
1773652638.685144,90.1
1773652638.7853317,90.1
1773652638.885631,90.1
1773652638.9851847,90.1
1773652639.0853066,90.1
1773652639.185212,90.1
1773652639.2852662,90.1
1773652639.385366,90.1
1773652639.485231,90.1
1773652639.5851898,90.1
1773652639.685244,90.1
1773652639.7851596,90.1
1773652639.8852835,90.1
1773652639.9853973,90.1
1773652640.0853655,90.1
1773652640.1851752,90.1
1773652640.2851832,90.1
1773652640.3851914,90.1
1773652640.4851916,90.1
1773652640.5853033,90.1
1773652640.6851668,90.1
1773652640.7853293,90.1
1773652640.88533,90.1
1773652640.9852195,90.1
1773652641.0853422,90.1
1773652641.1851563,90.1
1773652641.2851481,90.1
1773652641.3851485,90.1
1773652641.4853034,90.1
1773652641.5852792,90.1
1773652641.6852715,90.1
1773652641.7853193,90.1
1773652641.8853004,90.1
1773652641.9852118,90.1
1773652642.0852468,90.1
1773652642.1852405,90.1
1773652642.2851396,90.1
1773652642.3852913,90.1
1773652642.485285,90.1
1773652642.5852616,90.1
1773652642.685182,90.1
1773652642.785216,90.1
1773652642.8852034,90.1
1773652642.9852374,90.1
1773652643.0852757,90.1
1773652643.185154,90.1
1773652643.2852292,90.1
1773652643.3852134,90.1
1773652643.4851856,90.1
1773652643.5852501,90.1
1773652643.6851885,90.1
1773652643.7852323,90.1
1773652643.8853233,90.1
1773652643.985384,90.1
1773652644.0852945,90.1
1773652644.1851587,90.1
1773652644.2852092,90.1
1773652644.3851542,90.1
1773652644.4852552,90.1
1773652644.5852165,90.1
1773652644.6851604,90.1
1773652644.7852929,90.1
